ID_MSMLS	PRIMARY_NAME	SMILES	MOLECULAR_FORMULA	KEGG ID_CSID	CAS ID	HMDB/YMDB ID	NEUTRAL MONOISOTOPIC MOLECULAR MASS	METLIN_ID	PC_CID	PC_SID	ChEBI	id_Mzmine	score_cosine	precursor_mz	rt	intensity	GNPS_Compound_Name	LibraryName	MQScore	MZErrorPPM	SharedPeaks	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct.1	Precursor_MZ.1	Library_Class	IonMode	LibraryQualityString	Compound_Name-Topk=10	NumberHits
321	CYCLIC-AMP	[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N	C10H12N5O6P	C00575	60-92-4	HMDB0000058	329.052519653	92	6076	24278245	17489	6814	1	330.05945	4.87925	8764331	Adenosine Cyclophosphate - 40.0 eV	BIRMINGHAM-UHPLC-MS-POS.mgf	0.969951	1.84921	10	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	330.06	1	Positive	Gold	Adenosine Cyclophosphate - 40.0 eV	10
322	METHIONINE-SULFOXIMINE	CS(=N)(=O)CCC(N)C(O)=O	C5H12N2O3S	C03510	15985-39-4	-	180.05686295	65992	89034	24278555	28490	7093	0.999	181.06418	0.87977	36351156	METHIONINE SULFOXIMINE	GNPS-LIBRARY.mgf	0.992277	0.927002	6	ESI	Orbitrap	Commercial	Aron	David Hattan	M+H	181.064	1	Positive	Gold	METHIONINE SULFOXIMINE	10
323	CIS-4-HYDROXY-D-PROLINE	O[C@H]1CN[C@H](C1)C(O)=O	C5H9NO3	C03440	2584-71-6	HMDB0060460	131.058243159	63098	440014	24895713	16231	6568	1	132.06598	0.92694	50551304	4-HYDROXYPROLINE	MONA.mgf	0.995556	0.231078	4	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038598	M+H	132.066	3	positive	Bronze	4-HYDROXYPROLINE	10
324	N1-ACETYLSPERMINE	CC(=O)NCCCNCCCCNCCCN (N1-ACETYLSPERMINE)	C12H28N4O	C02567	25593-72-0	HMDB0001186 (N1-ACETYLSPERMINE)	244.226311538	3369	916	329747292	17312	7287	1	245.23392	0.77019	15837216	N1-ACETYLSPERMINE	GNPS-MSMLS.mgf	0.984205	0.311107	7	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	245.234	1	Positive	Gold	N1-ACETYLSPERMINE	10
325	GLUCOSAMINE-6-SULFATE	N[C@H]1[C@H](O)O[C@H](COS(O)(=O)=O)[C@@H](O)[C@@H]1O	C6H13NO8S	C04132	91674-26-9	HMDB0000592	259.036187087	5571	72361	6818	133343	8023	1	260.04349	0.88523	5490217	GLUCOSAMINE 6_SULFATE	GNPS-LIBRARY.mgf	0.822698	1.87769	7	ESI	Orbitrap	Commercial	Aron	David Hattan	M+H	260.043	1	Positive	Gold	GLUCOSAMINE 6_SULFATE	10
327	3-METHYLHISTAMINE	CN1C=NC=C1CCN (3-METHYLHISTAMINE)	C6H11N3	CSID62725	644-42-8	HMDB0001861 (3-METHYLHISTAMINE)	125.095297367	349189	69520	329817916	29009	7459	1	126.10276	0.74137	37815500	3-METHYLHISTAMINE	MONA.mgf	0.770526	1.87554	4	ESI	qTof	isolated	MoNA	MoNA:MoNA036171	M+H	126.103	3	positive	Bronze	3-METHYLHISTAMINE	3
331	N-FORMYL-L-METHIONINE	CSCC[C@H](NC=O)C(O)=O	C6H11NO3S	C03145	4289-98-9	HMDB0001015	177.045963913	4233	439750	24894839	16552	9153	0.978	178.05339	6.46334	9938350	fMet CollisionEnergy:205060	BERKELEY-LAB.mgf	0.98567	2.22815	7	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	178.053	3	Positive	Bronze	fMet CollisionEnergy:205060	10
334	5-HYDROXYTRYPTOPHAN	N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O	C11H12N2O3	C00643	4350-09-8	HMDB0000472	220.08479226	364	439280	24846778	17780	9360	1	221.09241	5.26167	24845142	Massbank:BML01223 Oxitriptan 1	MASSBANK.mgf	0.905857	1.93244	6	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	221.092	3	Positive	Bronze	Massbank:BML01223 Oxitriptan 1	10
336	THEOBROMINE	CN1C=NC2=C1C(=O)NC(=O)N2C	C7H8N4O2	C07480	83-67-0	HMDB0002825	180.06472552	1456	5429	24277679	28946	8993	0.997	181.0721	6.34243	11032013	Theobromine	GNPS-LIBRARY.mgf	0.951158	0	7	LC-ESI	Orbitrap	Commercial	Rafael Garrett	Najla Moufarreg	M+H	181.072	3	Positive	Bronze	Theobromine	10
337	GUANIDINOSUCCINATE	NC(=N)N[C@@H](CC(O)=O)C(O)=O	C5H9N3O4	C03139	6133-30-8	HMDB0003157	175.059305791	10	439918	24895303	17072	9299	0.995	176.06645	1.04685	34746316	GUANIDINOSUCCINATE	GNPS-LIBRARY.mgf	0.94615	3.20659	8	ESI	Orbitrap	Commercial	Aron	David Hattan	M+H	176.067	1	Positive	Gold	GUANIDINOSUCCINATE	10
