#Scan#,PRIMARY_NAME,NEUTRAL MONOISOTOPIC MOLECULAR MASS,M+H,around_2...5,RT(min),BIRMINGHAM-UHPLC-MS-POS.mgf,CMMC-FOOD-BIOMARKERS.mgf,GNPS-LIBRARY.mgf,GNPS-NUTRI-METAB-FEM-POS.mgf,GNPS-NIST14-MATCHES.mgf,LEAFBOT.mgf,MONA.mgf,BMDMS-NP.mgf,GNPS-MSMLS.mgf,MASSBANK.mgf,MCE-DRUG.mgf,MSNLIB-POSITIVE.mgf,BERKELEY-LAB.mgf,GNPS-SCIEX-LIBRARY.mgf,PSU-MSMLS.mgf,WINE-DB-ORBITRAP.mgf,RESPECT.mgf,GNPS-EMBL-MCF.mgf,GNPS-N-ACYL-LIPIDS-MASSQL.mgf,WINE-DB-QTOF.mgf,LDB_POSITIVE.mgf,GNPS-ALKYLAMINES-LIBRARY.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf,ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf,DMIM-DRUG-METABOLITE-LIBRARY.mgf,GNPS-ION-MOBILITY-LIBRARY.mgf,GNPS-SAM-SIK-KANG-LEGACY-LIBRARY.mgf,GNPS-REFRAME-DRUG-CCS-LIBRARY.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,WFSR-LIBRARY.mgf,CASMI.mgf,MASSBANKEU.mgf,GNPS-SELLECKCHEM-FDA-PART1.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY.mgf,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE.mgf,PHENOLICSDB.mgf,TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf,GNPS-SELLECKCHEM-FDA-PART2.mgf,MIADB.mgf,BILELIB19.mgf,GNPS-ION-MOBILITY-LIBRARY-FILTERED.mgf,PNNL-LIPIDS-POSITIVE.mgf,GNPS-IOBA-NHC.mgf
2752,PYRROLE-2-CARBOXYLATE,111.032028409,112.039853409,112.04,6.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,"2,6-DIHYDROXYPYRIDINE",111.032029,112.039854,112.04,2.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,CYTOSINE,111.043261797,112.051086797,112.05,1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,HISTAMINE,111.079647303,112.087472303,112.09,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170,SORBATE,112.0524295,113.0602545,113.06,9.105,,,,,,,,,,,,,sorbic acid CollisionEnergy:205060 | sorbic acid CollisionEnergy:102040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,CREATININE,113.058911861,114.066736861,114.07,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,HOMOCYSTEINE THIOLACTONE,117.024834541,118.032659541,118.03,1.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,PURINE,120.043596148,121.051421148,121.05,2.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,NICOTINATE,123.032028409,124.039853409,124.04,1.553,Isonicotinic acid - 40.0 eV | Niacin - 40.0 eV,,NICOTINATE - 50.0 eV | NICOTINATE | NICOTINATE - 70.0 eV | NICOTINATE - 60.0 eV,,Spectral Match to 4-Pyridinecarboxylic acid from NIST14 | Spectral Match to Nicotinic acid from NIST14,,ISONICOTINIC ACID | NIACIN | NICOTINIC ACID,,NICOTINATE,Massbank:LU048804 Nicotinic acid|pyridine-3-carboxylic acid | Massbank:LU048805 Nicotinic acid|pyridine-3-carboxylic acid | Massbank:LU048806 Nicotinic acid|pyridine-3-carboxylic acid | Massbank:LU048803 Nicotinic acid|pyridine-3-carboxylic acid | Massbank:LU048802 Nicotinic acid|pyridine-3-carboxylic acid | Massbank:LU048801 Nicotinic acid|pyridine-3-carboxylic acid | Massbank:FIO00517 Niacin | Massbank:PT102623 Isonicotinic acid|INA|4-Carboxypyridine|4-Pyridinecarboxylic Acid|4-Picolinic acid|pyridine-4-carboxylic acid | Massbank:PR100156 Isonicotinic acid|INA|4-Picolinic acid|4-Pyridinecarboxylic Acid|4-Carboxypyridine | Massbank:FIO00518 Niacin | Massbank:FIO00519 Niacin,nicotinic acid,nicotinic acid | ISONICOTINIC ACID,nicotinic acid CollisionEnergy:102040 | nicotinic acid CollisionEnergy:205060 | ISONICOTINIC ACID CollisionEnergy:102040,,,,ReSpect:PT102623 Isonicotinic acid|INA|4-Picolinic acid|4-Pyridinecarboxylic Acid|4-Carboxypyridine|pyridine-4-carboxylic acid,Nicotinic acid,,,,,,,,isonicotinic-acid [CCS=126.57920837402344],,,,,,,,,,,,,,,,,
1377,N-ACETYLPUTRESCINE,130.11061308,131.11843808,131.12,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,ETHYLMALONATE,132.042258744,133.050083744,133.05,5.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,ASPARTATE,133.037507717,134.045332717,134.05,0.892,,,,,,,,,,,,,,,,,,Aspartic acid,,,,,,,,,,,,,,,,,,,,,,,,,
1311,HOMOCYSTEINE,135.035399227,136.043224227,136.04,1.229,DL-Homocysteine - 40.0 eV,,HOMOCYSTEINE | HOMOCYSTEINE - 60.0 eV | HOMOCYSTEINE - 50.0 eV | HOMOCYSTEINE - 70.0 eV | HOMOCYSTEINE - 40.0 eV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2865,4-HYDROXYBENZOATE,138.031694058,139.039519058,139.04,7.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,UROCANATE,138.042927446,139.050752446,139.05,1.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,O-PHOSPHOETHANOLAMINE,141.019094261,142.026919261,142.03,0.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,HISTIDINOL,141.090211989,142.098036989,142.1,0.767,histidinol - 40.0 eV,,L-HISTIDINOL - 70.0 eV | L-HISTIDINOL - 60.0 eV,,,,HISTIDINOL,,,,L-histidinol,L-histidinol,L-histidinol CollisionEnergy:102040,,HISTIDINOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,4-ACETAMIDOBUTANOATE,145.073893223,146.081718223,146.08,3.405,4-ACETAMIDOBUTYRIC ACID - 40.0 eV | g-Guanidinobutyrate - 40.0 eV,,4-ACETAMIDOBUTANOATE - 40.0 eV | 4-ACETAMIDOBUTANOATE - 50.0 eV | 4-ACETAMIDOBUTANOATE - 60.0 eV | 4-GUANIDINOBUTANOATE - 60.0 eV | 4_GUANIDINOBUTANOATE,,,,4-ACETAMIDOBUTANOIC ACID,,,,,,4-Acetamidobutyric acid CollisionEnergy:205060,,4-GUANIDINO-BUTANOATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,MEVALONATE,148.07356,149.081385,149.08,2.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,GUANINE,151.049409807,152.057234807,152.06,1.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,3-SULFINOALANINE,153.009578407,154.017403407,154.02,0.915,,,3-SULFINO-L-ALANINE - 50.0 eV | 3-SULFINO-L-ALANINE - 40.0 eV | 3-SULFINO-L-ALANINE - 20.0 eV | 3-SULFINO-L-ALANINE - 30.0 eV,,,,3-SULFINO-ALANINE,,,,,,L-Cysteinesulfinic acid CollisionEnergy:102040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,3-HYDROXYANTHRANILATE,153.042593095,154.050418095,154.05,5.799,,,,,,,,,,,,56546-36-2 | 846046-02-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,"3,4-DIHYDROXYBENZOATE",154.02660868,155.03443368,155.03,6.263,,"2,3-dihydroxy-benzoic acid (known structural isomers: 2; isobaric peaks in run: 1)",Gentisic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,HISTIDINE,155.069476547,156.077301547,156.08,0.861,L-Histidine - 30.0 eV | L-Histidine - 40.0 eV,histidine (known structural isomers: 0; isobaric peaks in run: 0),HISTIDINE | Histidine | L-HISTIDINE - 50.0 eV | L-HISTIDINE - 40.0 eV | L-HISTIDINE - 20.0 eV | L-HISTIDINE - 30.0 eV | L-HISTIDINE - 60.0 eV | L-HISTIDINE - 70.0 eV,,Spectral Match to L-Histidine from METLIN | Spectral Match to L-Histidine from NIST14,,HISTIDINE,,HISTIDINE,Massbank:RP002001 L-Histidine|(2S)-2-azaniumyl-3-(1H-imidazol-5-yl)propanoate | Massbank:PB000423 Histidine|2-amino-3-(3H-imidazol-4-yl)propanoic acid | Massbank:RP002002 L-Histidine|(2S)-2-azaniumyl-3-(1H-imidazol-5-yl)propanoate,L-histidine (Chimeric precursor selection) | L-histidine,L-histidine | L-histidine (Chimeric precursor selection),L-histidine CollisionEnergy:102040,L-histidine,,Histidine_(L-),,Histidine | L-HISTIDINE,,Histidine_(L-),,,,,,,,,,,,,,,,,,,,,,,
